Street Details,Floor Level,Gate Level,Road Centre,Latitude,Longitude
20 Bright Street EAST LISMORE,13.187,10.69,11.09,-28.8171208,153.2876735
21 Bright Street EAST LISMORE,13.55,11.31,11.13,-28.8175487,153.2876045
22 Bright Street EAST LISMORE,12.44,10.79,11.17,-28.8171332,153.2878293
23 Bright Street EAST LISMORE,14.7,11.46,11.17,-28.8175717,153.2878117
24 Bright Street EAST LISMORE,12.59,10.76,11.2,-28.8171374,153.2879498
25 Bright Street EAST LISMORE,12.55,11.41,11.27,-28.8176206,153.2880419
26 Bright Street EAST LISMORE,12.58,10.82,11.27,-28.8171956,153.2880932
28 Bright Street EAST LISMORE,12.72,10.87,11.35,-28.8172153,153.2882412
30 Bright Street EAST LISMORE,13.73,11.05,11.39,-28.8172254,153.2883643
32 Bright Street EAST LISMORE,13.08,11.06,11.47,-28.8172332,153.2885351
40 Bright Street EAST LISMORE,13.69,12.86,13.06,-28.8173541,153.2893446
35 Caldwell Avenue EAST LISMORE,11.723,10.744,11.396,-28.8259766,153.2932454
45 Caldwell Avenue EAST LISMORE,11.517,11.061,11.383,-28.8262965,153.2936535
46 Caldwell Avenue EAST LISMORE,10.744,10.914,11.191,-28.8255605,153.2936757
47 Caldwell Avenue EAST LISMORE,11.115,10.914,11.191,-28.8265513,153.293867
48 Caldwell Avenue EAST LISMORE,11.494,11.094,11.164,-28.825697,153.2940954
49 Caldwell Avenue EAST LISMORE,11.812,10.997,11.18,-28.8261536,153.2939221
51 Caldwell Avenue EAST LISMORE,11.807,10.975,11.198,-28.8261535,153.2941665
52 Caldwell Avenue EAST LISMORE,11.042,10.851,11.186,-28.8257544,153.2942956
54 Caldwell Avenue EAST LISMORE,11.119,11.052,11.253,-28.8257598,153.2944092
55 Caldwell Avenue EAST LISMORE,11.342,10.991,11.254,-28.8258496,153.2927964
56 Caldwell Avenue EAST LISMORE,11.183,11.099,11.269,-28.8257738,153.2946013
57 Caldwell Avenue EAST LISMORE,12.031,10.932,11.342,-28.8262569,153.2947399
59 Caldwell Avenue EAST LISMORE,11.028,10.874,10.893,-28.82631,153.2949042
60 Caldwell Avenue EAST LISMORE,12.349,11.145,11.4,-28.8258531,153.2949864
63 Caldwell Avenue EAST LISMORE,11.642,11.468,11.586,-28.826316,153.2952922
64 Caldwell Avenue EAST LISMORE,11.296,11.298,11.556,-28.8259091,153.2953806
65 Caldwell Avenue EAST LISMORE,11.143,11.233,11.619,-28.8263388,153.2954753
66 Caldwell Avenue EAST LISMORE,11.642,11.468,11.636,-28.8259484,153.295555
67 Caldwell Avenue EAST LISMORE,11.437,11.465,11.664,-28.826359,153.2956399
68 Caldwell Avenue EAST LISMORE,11.68,11.536,11.663,-28.8259968,153.2957123
55A Caldwell Avenue EAST LISMORE,11.37,11.035,11.263,-28.8258496,153.2927964
19 Bright Street EAST LISMORE,13.59,10.91,10.73,-28.817546,153.2874492
20 Bright Street EAST LISMORE,13.187,10.69,11.09,-28.8171208,153.2876735
21 Bright Street EAST LISMORE,13.55,11.31,11.13,-28.8175487,153.2876045
22 Bright Street EAST LISMORE,12.44,10.79,11.17,-28.8171332,153.2878293
23 Bright Street EAST LISMORE,14.7,11.46,11.17,-28.8175717,153.2878117
24 Bright Street EAST LISMORE,12.59,10.76,11.2,-28.8171374,153.2879498
25 Bright Street EAST LISMORE,12.55,11.41,11.27,-28.8176206,153.2880419
26 Bright Street EAST LISMORE,12.58,10.82,11.27,-28.8171956,153.2880932
28 Bright Street EAST LISMORE,12.72,10.87,11.35,-28.8172153,153.2882412
30 Bright Street EAST LISMORE,13.73,11.05,11.39,-28.8172254,153.2883643
32 Bright Street EAST LISMORE,13.08,11.06,11.47,-28.8172332,153.2885351
40 Bright Street EAST LISMORE,13.69,12.86,13.06,-28.8173541,153.2893446
35 Caldwell Avenue EAST LISMORE,11.723,10.744,11.396,-28.8259766,153.2932454
45 Caldwell Avenue EAST LISMORE,11.517,11.061,11.383,-28.8262965,153.2936535
46 Caldwell Avenue EAST LISMORE,10.744,10.914,11.191,-28.8255605,153.2936757
47 Caldwell Avenue EAST LISMORE,11.115,10.914,11.191,-28.8265513,153.293867
48 Caldwell Avenue EAST LISMORE,11.494,11.094,11.164,-28.825697,153.2940954
49 Caldwell Avenue EAST LISMORE,11.812,10.997,11.18,-28.8261536,153.2939221
51 Caldwell Avenue EAST LISMORE,11.807,10.975,11.198,-28.8261535,153.2941665
52 Caldwell Avenue EAST LISMORE,11.042,10.851,11.186,-28.8257544,153.2942956
54 Caldwell Avenue EAST LISMORE,11.119,11.052,11.253,-28.8257598,153.2944092
55 Caldwell Avenue EAST LISMORE,11.342,10.991,11.254,-28.8258496,153.2927964
56 Caldwell Avenue EAST LISMORE,11.183,11.099,11.269,-28.8257738,153.2946013
57 Caldwell Avenue EAST LISMORE,12.031,10.932,11.342,-28.8262569,153.2947399
59 Caldwell Avenue EAST LISMORE,11.028,10.874,10.893,-28.82631,153.2949042
60 Caldwell Avenue EAST LISMORE,12.349,11.145,11.4,-28.8258531,153.2949864
63 Caldwell Avenue EAST LISMORE,11.642,11.468,11.586,-28.826316,153.2952922
64 Caldwell Avenue EAST LISMORE,11.296,11.298,11.556,-28.8259091,153.2953806
65 Caldwell Avenue EAST LISMORE,11.143,11.233,11.619,-28.8263388,153.2954753
66 Caldwell Avenue EAST LISMORE,11.642,11.468,11.636,-28.8259484,153.295555
67 Caldwell Avenue EAST LISMORE,11.437,11.465,11.664,-28.826359,153.2956399
68 Caldwell Avenue EAST LISMORE,11.68,11.536,11.663,-28.8259968,153.2957123
24 Cathcart Street EAST LISMORE,12.12,9.99,10.16,-28.8146737,153.2802122
26 Cathcart Street EAST LISMORE,12.29,9.95,10.24,-28.8148089,153.2801679
27 Cathcart Street EAST LISMORE,12.62,10.15,10.32,-28.8147392,153.2796758
28 Cathcart Street EAST LISMORE,12.15,10.06,10.32,-28.8148786,153.2802058
29 Cathcart Street EAST LISMORE,12.24,9.95,10.36,-28.8148372,153.2795578
30 Cathcart Street EAST LISMORE,13.4,10.22,10.34,-28.8149481,153.2800298
32 Cathcart Street EAST LISMORE,12.89,10.3,10.44,-28.815081,153.2799607
33 Cathcart Street EAST LISMORE,12.39,10.05,10.45,-28.8149835,153.2794645
34 Cathcart Street EAST LISMORE,12.2,10.77,10.81,-28.8153582,153.2798504
35 Cathcart Street EAST LISMORE,12.2,10.27,10.68,-28.8150788,153.2793756
37 Cathcart Street EAST LISMORE,11.93,10.34,10.81,-28.8151779,153.279318
38 Cathcart Street EAST LISMORE,14.38,11.54,11.47,-28.815593,153.2797772
39 Cathcart Street EAST LISMORE,12.12,10.66,11.2,-28.8153128,153.2793045
41 Cathcart Street EAST LISMORE,12.55,11.17,11.85,-28.8154144,153.2792105
42 Cathcart Street EAST LISMORE,15.45,13.08,12.63,-28.8157857,153.2796348
45 Cathcart Street EAST LISMORE,12.26,11.61,12.28,-28.8155581,153.279026
49 Cathcart Street EAST LISMORE,13.51,13.42,14,-28.815767,153.2789246
55 Cathcart Street EAST LISMORE,13.51,13.42,14,-28.8161129,153.2786781
1 Clarice Street EAST LISMORE,11.19,9.97,10.13,-28.8154911,153.2850216
2 Clarice Street EAST LISMORE,12.19,10.04,10.19,-28.8157157,153.2853962
3 Clarice Street EAST LISMORE,12.94,10.08,10.19,-28.8156769,153.2849643
4 Clarice Street EAST LISMORE,12.41,10.08,10.32,-28.8158815,153.2853598
5 Clarice Street EAST LISMORE,12.42,10.12,10.32,-28.8158482,153.2849107
6 Clarice Street EAST LISMORE,12.57,10.13,10.41,-28.8160461,153.2853324
7 Clarice Street EAST LISMORE,12.65,10.14,10.41,-28.816018,153.2848945
8 Clarice Street EAST LISMORE,12.72,10.18,10.46,-28.8162473,153.2852996
9 Clarice Street EAST LISMORE,13.17,10.28,10.46,-28.8161811,153.2848399
10 Clarice Street EAST LISMORE,13.36,10.24,10.51,-28.8164807,153.2854057
11 Clarice Street EAST LISMORE,12.79,10.23,10.51,-28.8163737,153.2848473
12 Clarice Street EAST LISMORE,12.25,10.28,10.53,-28.8166021,153.285233
13 Clarice Street EAST LISMORE,12.41,10.31,10.53,-28.8165385,153.2848017
15 Clarice Street EAST LISMORE,12.51,10.32,10.56,-28.8167317,153.2847508
16 Clarice Street EAST LISMORE,12.05,10.3,10.55,-28.8167625,153.2852457
18 Clarice Street EAST LISMORE,13.02,10.38,10.65,-28.8169512,153.2851701
24 Cathcart Street EAST LISMORE,12.12,9.99,10.16,-28.8146737,153.2802122
26 Cathcart Street EAST LISMORE,12.29,9.95,10.24,-28.8148089,153.2801679
27 Cathcart Street EAST LISMORE,12.62,10.15,10.32,-28.8147392,153.2796758
28 Cathcart Street EAST LISMORE,12.15,10.06,10.32,-28.8148786,153.2802058
29 Cathcart Street EAST LISMORE,12.24,9.95,10.36,-28.8148372,153.2795578
30 Cathcart Street EAST LISMORE,13.4,10.22,10.34,-28.8149481,153.2800298
32 Cathcart Street EAST LISMORE,12.89,10.3,10.44,-28.815081,153.2799607
